tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***78453,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0756,NR,515 CLINTON ST,,,ON
***06112,20161231,355,PARK IN ACCESSIBLE NO PERMIT,450,0757,NR,60 TOWN CENTRE CRT,,,ON
***50816,20161231,48,FAIL TO PARK/STOP PARALL. CURB,30,0757,NR,226 QUEEN ST W,,,ON
***76979,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0757,OPP,66 NINA ST,,,ON
***78454,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0757,NR,509 CLINTON ST,,,ON
***07140,20161231,3,PARK ON PRIVATE PROPERTY,30,0757,AT,18 HOLMES AVE,,,ON
***90757,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0758,NR,28 YARMOUTH RD,,,ON
***07141,20161231,3,PARK ON PRIVATE PROPERTY,30,0758,AT,18 HOLMES AVE,,,ON
***07142,20161231,3,PARK ON PRIVATE PROPERTY,30,0758,AT,18 HOLMES AVE,,,ON
***98447,20161231,9,STOP-SIGNED HWY-PROHIBIT TM/DY,60,0759,NR,245 GERRARD ST E,,,ON
***07143,20161231,3,PARK ON PRIVATE PROPERTY,30,0759,AT,18 HOLMES AVE,,,ON
***71870,20161231,3,PARK ON PRIVATE PROPERTY,30,0800,AT,50 BRUYERES MEWS,,,ON
***64668,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0801,NR,503 DANFORTH AVE,,,ON
***71871,20161231,3,PARK ON PRIVATE PROPERTY,30,0801,AT,50 BRUYERES MEWS,,,ON
***76980,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0801,OPP,26 VAUGHAN RD,,,ON
***78455,20161231,336,PARK-FAIL TO DISPLAY PERMIT,30,0801,N/S,FOLLIS AVE,,,ON
***78456,20161231,29,PARK PROHIBITED TIME NO PERMIT,30,0801,N/S,FOLLIS AVE,W/O,MANNING AVE,ON
***74423,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0802,OPP,122 MARINE PARADE DR,,,ON
***76981,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0802,OPP,26 VAUGHAN RD,,,ON
***76982,20161231,207,PARK MACHINE-REQD FEE NOT PAID,30,0802,OPP,26 VAUGHAN RD,,,ON
